username,text
elong99,"发信人: elong99 (elong), 信区: D_Computer
标  题: 关于本科生海外交流项目的一些要求
发信站: 南京大学小百合站 (Tue Sep 24 09:39:47 2013)


各位同学大家好：

    学校现在提供越来越多的海外高校学习交流计划，欢迎大家积极关注并申请。

    但是出国交流不是出国旅游，一定要修学相关课程并在回国后完成学分转换，否则出
国一趟结果反而会是毕业不了。

    因此，建议大家在出国交流之前，事先制定要修学计划。系本科生修学指导小组的老
师（陶先平、高阳、李宁）非常愿意帮助大家制定合理的学习计划。

    此外，各位在向“交换生管理系统”提交申请时，请在申请中加入学习计划内容，否
则我在审核时可能会退回重新申请。请各位同学注意。

陶先平
2013，9，24
--
[1;36m※ 来源:．南京大学小百合站 http://bbs.nju.edu.cn [FROM: 172.25.146.11][m
"
hyy96,"发信人: hyy96 (Hyysky), 信区: D_Computer
标  题: 网宿科技2017校招内推火热来袭
发信站: 南京大学小百合站 (Sat Sep 10 08:05:49 2016)

1、内推时间：8月23日-9月18日 
2、面向群体：重点985/211院校 2017届应届毕业生 
3、内推流程：内推 → 简历评估 → 面试 → 发放offer 
4、内推优势：简历将由校招组直推到部门、免笔试
具体岗位：
  研发类 （软件开发、算法、内核、安全、前端、数据分析、测试开发）
产品类 （产品经理、产品运维工程师、市场推广工程师、 UI设计师、UE设计师）
项目类 （项目经理）
运营类 （资源、设备、系统运维、质量管控、运营技术支持、客户技术支持）
其他类 （售前技术支持、初级销售经理、财务核算、知识产权、科技项目管理、法务支
持等）
  简历和邮件标题为：学校+姓名+职位 简历发送至lan_nanjing@foxmail.com
--
[1;33m※ 来源:．南京大学小百合站 http://bbs.nju.edu.cn [FROM: 172.26.106.48][m
"
zfwang96,"发信人: zfwang96 (zfwang96), 信区: D_Computer
标  题: 【吐槽】教师节到了
发信站: 南京大学小百合站 (Sat Sep 10 07:47:34 2016)


又是一年教师节，讲台上的身影也忙不停的更迭。
昨天数据结构下课后，李武军老师转过身用板擦擦掉黑板上的板书。
这一幕，竟如此熟悉。
上学期，兢兢业业的马晓星老师何尝不是这样呢？
又想起了大一时程设基础课程的郭延文老师，一连串又想起了好多老师，
他们教给我们的不仅仅是知识，
更是做人。

我不是故意挖坑，
只是真心觉得这才是大家应有的风范。

老师们，教师节快乐，谢谢你们。
--
[1;33m※ 来源:．南京大学小百合站 http://bbs.nju.edu.cn [FROM: 172.26.221.62][m
"
liumeiling,"发信人: liumeiling (guoguo519), 信区: D_Computer
标  题: 【招聘】上海 | 即刻app，需要超酷超好玩的人！
发信站: 南京大学小百合站 (Fri Sep  9 18:06:21 2016)

关于「即刻App」

「即刻App」是一款基于兴趣的极简信息推送工具。你可以在「即刻App」上关注自己感兴
趣的人物、资讯和事件，我们通过推送通知让你轻松、高效、及时地获取自己关心的优质
信息。「即刻App」一经推出就受到用户的广泛认可：
-   荣获「极客公园 2015 年度创业新星」
- 「豌豆荚设计奖」vol. 227 获奖应用 
- 「小米应用商店」2015 年度应用 
- 「少数派 2015 年度 App」推荐 
- 「金米奖」2016 年第五期获奖应用 


加入「即刻」，你可以

- 与一款最有价值的信息获取工具共同成长
- 与来自 Google、大众点评、网易、豌豆荚、知乎的优秀小伙伴一起工作
- 在精简扁平化的团队中探索无限可能
- Work Hard, Play Hard


这些岗位虚席以待

- Node.js 后端工程师（全职/实习）
- DevOps 工程师  （全职）
- 系统工程师（全职）
- 爬虫工程师（全职）
- 数据工程师（全职/实习）

- Android 工程师（全职/实习）
- iOS 工程师（全职/实习）

- 产品经理（全职）
- 市场和渠道推广经理（全职）


职位描述与要求

Node.js 后端工程师（全职/实习）

职位描述
为移动 App 设计和实现后端 API 接口和服务；
参与后端架构设计和产品的研发，开发高性能、高可靠性的服务；
持续提升服务性能和改进业务架构。

职位要求
熟悉常用数据结构和算法；
熟悉 Javascript 语言；
掌握至少一种关系型或非关系型数据库；
熟悉服务端缓存技术如 Redis；
良好的编码和测试习惯；
较强的逻辑思维能力，善于分析梳理业务需求并实现；
良好的沟通和协作能力；
良好的英文阅读能力。

加分项
参与过大型移动 App 后端服务的开发和设计；
了解 AWS；
对基于容器（ docker ）的构建和部署有一定了解，有一定高可用分布式系统开发经验；
「即刻App」用户。


DevOps 工程师 （全职）

职位描述
负责服务器虚拟机和网络的维护管理；
负责自动部署和持续集成系统的设计和开发；
持续完善服务监控和报警机制。

职位要求
熟悉 Linux 系统；
对容器技术有一定了解；
了解至少一种容器编排工具 Kubernetes / Swarm / Rancher；
熟悉服务端运维工具，Ansible / Puppet；
有一定的脚本语言编程能力。

加分项
熟悉 AWS 优先。


系统工程师（全职）

职位描述
负责内部基础系统的研发、构建及优化；
持续通过工具、框架及自动化解决方案提升工程师的生产力及幸福指数；
促进业务快速迭代，提高产品的稳定性及性能。

职位要求
扎实的编程技能，两年以上开发经验；
熟悉 Linux 操作系统及网络编程；
熟悉常用网络协议；
了解分布式系统的设计与实现；
对系统研发有热情。

加分项
熟悉 Java / Scala / Go；
熟悉 Redis / Kafka / InfluxDB / Elasticsearch / DynamoDB / Cassandra / HBase 的
设计与实现；
给开源分布式系统提交过 PR。


爬虫工程师 （全职）

职位描述
负责「即刻App」爬虫系统的设计、研发与维护；
设计爬虫策略与算法，提升抓取效果；
持续优化系统，提高系统的稳定性及性能。

职位要求
一年以上开发经验，具有良好的工程习惯；
熟悉常用数据结构及算法；
熟悉 Linux 操作系统；
熟悉 HTTP 协议；
有自动化测试经验；
优秀的分析、解决问题能力，对处理未知的、挑战性问题充满激情；
良好的沟通能力和团队合作精神。

加分项
熟悉 Python / Node.js；
有较丰富的爬虫系统开发经验；
了解分布式系统的设计与实现。


数据工程师 （全职/实习）

职位描述
负责为产品和运营提供指导数据，以驱动产品改进；
开发和完善数据分析平台来处理不同来源的数据（文件，kafka，数据库）。

职位要求
熟悉 SQL, Scala / Java / Python；
熟悉 Spark / Hadoop 等分布式计算/储存系统。

加分项
熟悉「即刻App」；
有良好的数据敏感度。


Android 工程师（全职/实习）

职位描述
负责 Android 客户端产品开发和维护；
持续完善客户端用户体验和性能；
参与产品需求分析并制定技术方案。

职位要求
熟悉 Android 技术栈和生态链，包括：操作系统、API、编译链、包管理、IDE、统计分析
、错误收集、编译配置管理、自动化构建、测试、开发；
具备扎实的 Java 编程基础，熟悉设计模式，对热门开源项目有实践经验；
熟悉 Android 下网络通信机制，对 Socket 通信、TCP/IP 和 HTTP 有比较深刻的理解和
经验；
有完整客户端经验及优秀开源项目者优先。
* Android 工程师每年可免费参加Google I/O大会


iOS工程师（全职/实习）

职位描述
负责 iOS 客户端的开发和维护；
持续完善客户端用户体验和性能；
参与产品需求分析并制定技术方案。

职位要求
熟悉 iOS 产品以及开发平台，熟练使用 Xcode 及相关工具链；
熟练使用 Swift 开发；
对持续构建、性能优化、架构迭代有热情；
熟悉新技术趋势，对热门开源项目有实践经验。

* iOS工程师可以每年免费参加 WWDC


产品经理（全职）

工作职责
「即刻App」移动客户端和后台产品的产品调研、用户研究、需求分析、产品设计、沟通协
作、项目管理、产品测试、数据分析等相关工作。

任职要求
2 年以上移动互联网产品相关工作经验，熟悉产品开发流程，熟练运用 Sketch 等相关工
具；
具备出色的沟通和协调能力、优秀的执行能力和强烈的工作责任心；
适应快速发展期的创业公司工作节奏。


加分项
有平台类产品项目经验者优先。

* 请在应聘邮件中注明自己负责过的产品（版本、平台、模块等），以及任何可以让我们
更多了解你的资料或链接。


市场和渠道推广经理（全职）

职位描述

策划与执行各项市场推广活动，跟进并反馈后续效果；
对定向的活动制定执行计划并监督制作相应传播物料；
负责相关的创意发想、文案、广告文案撰写；
利用互联网各类营销手段推广产品及活动，收集相关数据，统计分析效果并不断优化调整
策略；
配合上级分配的工作，对时间节点的把控严谨。能够良好协调与第三方供应商的合作。

职位要求
本科学历，教育、市场营销等相关专业毕业；
1-2 年市场相关工作经验，熟悉新媒体，自媒体推广手段，熟悉各类互联网营销推广手段
；
思想活跃，沟通及表达能力佳，愿意参与创意发想，乐于主动思考；
有优秀的视觉审美能力，有平面设计背景者优先；
有相应丰富的自媒体资源优先。


快发送简历至 hr@ruguoapp.com，并在邮件主题中注明应聘的职位，有任何问题也可直接
与我站内联系或邮件 lml@ruguoapp.com（11级南大校友，绝不坑爹）

欢迎推荐适合的朋友
成功入职即送推荐人一台Macbook！
--
[1;32m※ 来源:．南京大学小百合站 http://bbs.nju.edu.cn [FROM: 180.167.73.238][m
"
hyy96,"发信人: hyy96 (Hyysky), 信区: D_Computer
标  题: [转载] 网宿科技2017校招内推火热来袭！
发信站: 南京大学小百合站 (Sat Sep 10 09:14:15 2016)

[37;1m【 以下文字转载自 [32mJobExpress [37m讨论区 】
[37;1m【 原文由 [32mhyy96 [37m所发表 】[m


1、内推时间：8月23日-9月18日 
2、面向群体：重点985/211院校 2017届应届毕业生 
3、内推流程：内推 → 简历评估 → 面试 → 发放offer 
4、内推优势：简历将由校招组直推到部门、免笔试
本次招聘面向2017届应届毕业生，计划在全国招收200+名优秀学子，职位涵盖如下：
研发类 （软件开发、算法、内核、安全、前端、数据分析、测试开发）
产品类 （产品经理、产品运维工程师、市场推广工程师、 UI设计师、UE设计师）
项目类 （项目经理）
运营类 （资源、设备、系统运维、质量管控、运营技术支持、客户技术支持）
其他类 （售前技术支持、初级销售经理、财务核算、知识产权、科技项目管理、法务支
持等）
                          【具体岗位要求了解方式】
关注微信公众号：网宿科技招聘（微信号：wangsu_campus），可直接回复留言，网宿君将
每日定时答复

更多详情请戳：www.chinanetcenter.com
http://bbs.nju.edu.cn/file/JobExpress/hyy961473469797.png
简历和邮件标题为：学校+姓名+职位
简历发送至lan_nanjing@foxmail.com

--
[1;37m※ 来源:．南京大学小百合站 http://bbs.nju.edu.cn [FROM: 172.26.106.48][m
--
[1;37m※ 来源:．南京大学小百合站 http://bbs.nju.edu.cn [FROM: 172.26.106.48][m
"
missland1993,"发信人: missland1993 (seeker.rocks), 信区: D_Computer
标  题: 924天花板坠落
发信站: 南京大学小百合站 (Fri Sep  9 11:59:45 2016)

如题。还有一个灯管摇摇欲坠。还请工作人员来修理。

http://bbs.nju.edu.cn/file/D_Computer/1145794028.jpg

http://bbs.nju.edu.cn/file/D_Computer/1255722135.jpg


--
[1;34m※ 来源:．南京大学小百合站 http://bbs.nju.edu.cn [FROM: 114.212.82.216][m
※ 修改:．missland1993 於 Sep  9 14:36:12 2016 修改本文．[FROM: 114.212.82.216] "
vikady1127,"发信人: vikady1127 (大鱼天天吃小鱼), 信区: D_Computer
标  题: 【校招】高冷的计算机筒子们快到碗里来~~
发信站: 南京大学小百合站 (Fri Sep  9 11:16:22 2016)


海康威视2017年校园招聘网申入口:http://campus.hikvision.com

[1;31m【海康威视名片】
全球安防领导企业
中国物联网龙头企业
年度最佳雇主

[1;34m【注意事项】
我是南大外院的，暑期在海康实习，现已转正，是校园大使哈~
计算机专业的筒子们请把简历直接发我邮箱vikady1127@163.com啊啊啊啊啊啊啊！！！
我会统一推给HR啊啊啊啊啊！！！
但是还是要记得网申哦！网申地址：http://campus.hikvision.com
有任何问题可以联系我哈：15996253830

                        [m 杭州海康威视数字技术股份有限公司
                               2017届校园招聘简章

【公司简介】[1;31m（我们公司其实很有名的！！！）
[m海康威视是领先的视频产品&内容服务提供商，面向全球提供领先的视频产品、专业的
行业解决方案与内容服务。海康威视是全球视频监控数字化、网络化、高清智能化的见证
者，践行者和重要推动者。

[1;31m海康威视全球员工1.5万人，其中研发人员超7000人，研发投入占企业销售额的7-
8%，绝对数额占据业内前茅。[m海康威视是博士后科研工作站单位，在全球设有五大研
发机构，拥有视音频编解码技术、视频图像处理技术、嵌入式系统开发技术等多项核心技
术及云计算、大数据、人脸识别、深度学习、视频结构化等前瞻技术，并针对金融、公安
、电讯、交通、司法、文教卫、能源、楼宇等众多行业提供专业的细分产品与IVM智能可视
化管理解决方案。

[1;34m海康威视在中国大陆35个城市设立分公司及售后服务站，在境外，设立香港、荷兰
、南非、印度、迪拜、美国、加拿大、墨西哥、巴西、俄罗斯、新加坡、意大利、澳大利
亚、法国、西班牙、波兰、英国、韩国等21个子公司。海康威视产品和解决方案应用在10
0多个国家和地区，在北京奥运会、上海世博会、60年国庆大阅兵、美国费城平安社区、韩
国首尔平安城市、巴西世界杯场馆、意大利米兰国际机场等重大安保项目中发挥了极其重
要的作用。

持续快速发展的海康威视，获得行业内外的普遍认可。公司连年入选“中国安防十大民族
品牌”、中国安防百强（位列榜首）；连续九年(2007-2015)以中国安防第一位的身份入选
A&S《安全自动化》“全球安防50强”，2015年列全球第2位、亚洲第1位；连续五年（201
1-2015）蝉联iHS全球视频监控企业第1位，硬盘录像机、网络硬盘录像机、监控摄像机第
1位，视频管理软件第3位；连年入选“国家重点软件企业”、“中国软件收入前百家企业
”等。


[1;35m【招聘职位】(满屏的都要计算机专业的！！！)
研发类: 硬件工程师、硬件测试工程师、Web前端开发工程师、算法工程师、C/C++开发工
程师、移动端开发工程师、Java开发工程师、UI设计师、嵌入式软件开发工程师、大数据
架构工程师、大数据算法工程师、结构设计工程师、安全开发工程师、FPGA开发工程师、
EMC工程师等等；

专业/技术支撑类:SQA工程师、测试工程师、技术支持工程师、检测认证工程师、热线技术
支持工程师、售后维修工程师、售前工程师、数据工程师、文档工程师、项目管理工程师
、新产品导入工程师、海外技术支持工程师等等；

我们在“视界”中心期待你的加盟，成为新HIKer！
（具体职位列表请关注：海康威视招聘公众号HikvisionHR，招聘官网）

[m【薪酬福利】（亲测环境好，福利好！！！）
所有岗位均为正式编制岗位，均可享受以下待遇：

市场上有竞争力的薪酬体系
具有行业竞争力的薪酬水平，年终奖，调薪；同时还有股权激励、特别贡献奖、专项奖励
、业绩激励奖等奖金机制;

解决后顾之忧的完善福利
法定的五险一金及额外的商业保险，餐补、交通补贴、手机/通讯补贴、医疗补贴、节假日
福利以及健康体检、美味食堂、多套工服、购房无息借款等等衣食住行的各项福利;

明晰完善的职业发展和培养体系
管理序列与专业序列双重晋升发展通道，立足发展的转岗机会，让HIKer明晰方向；应届生
职业化训练、“鹰计划”系列培训、“海康讲堂”等成体系的培训内容，加速你的成长;

丰富多彩的员工团队活动
完善的俱乐部组织，丰富的公司活动，人人均享的经费支持，瑜伽室、健身房、运动室、
灯光舞台一应俱全、应有尽有。

[1;34m【招聘行程】
海康威视将于9月25日18:30-20:30在南京大学 地科报告厅 举办宣讲会！ 
欢迎同学们前来参加！


[m【联系方式】
 校招官方网站：http://campus.hikvision.com
 E-mail：campus@hikvision.com
 总部地址：浙江省杭州市滨江区阡陌路555号
 联系电话：0571－88075998
















--
[1;35m※ 来源:．南京大学小百合站 http://bbs.nju.edu.cn [FROM: 172.26.6.254][m
"
CSJob,"发信人: CSJob (南京大学计算机系工作信息发布), 信区: D_Computer
标  题: 2016届毕业生招聘信息汇总
发信站: 南京大学小百合站 (Fri Aug 28 10:13:17 2015)


2016届毕业生同学:

   2016届就业招聘即将开始，我们将在本栏目陆续公布各用人单位招聘的信息和招聘会信
息,请大家关注!
   另外特别会有一些公司有由学校推荐的名额和要求,请大家积极关注,有兴趣的同学及时
报名,或者按要求提交材料。
   祝大家成功！
   
                                                         计算机系就业工作办公室

【【【请大家也密切关注南京大学就业指导中心的相关招聘信息】】】
http://job.nju.edu.cn/login/nju/home.jsp?type=xyzp&pageNow=1


 -----------------------------------------------------------------------------
-
**【花旗金融-南京大学校园招聘】

 
Ø  宣讲日期：2015年9月14日
 
Ø  宣讲时间：上午9：00至晚上21：00（包含宣讲，笔试，面试及录用协议签署环节）
 
Ø  宣讲地点：南京大学鼓楼校区 具体教室正在安排中
 
Ø  简历投递邮箱：techcampus@citi.com"
username,text
